Date,Price,EB
2021-10-16,60877.41098941,2732824.24963888
2021-10-17,61528.44436627,2732474.8332045
2021-10-18,62019.15895201,2722151.65843817
2021-10-19,64290.64456591,2725633.10786207
2021-10-20,66020.85516004,2728802.01938843
2021-10-21,62207.2985563,2726368.45605397
2021-10-22,60681.61133857,2726948.51880292
2021-10-23,61293.28195718,2729293.47240633
2021-10-24,60857.67119746,2730192.86306951
2021-10-25,63080.7500896,2727680.03389996
2021-10-26,60323.65580547,2729035.48332744
2021-10-27,58453.23742175,2741475.49630989
2021-10-28,60599.26972548,2738921.51374302
2021-10-29,62250.6262354,2731023.78561672
2021-10-30,61887.37940025,2734359.3337334
2021-10-31,61338.85781286,2735927.17435735
2021-11-01,60944.41563593,2721346.21606879
2021-11-02,63264.8846138,2714951.16906817
2021-11-03,62928.88396773,2700918.83029999
2021-11-04,61436.62269684,2702476.62251618
2021-11-05,60996.32576758,2698260.71511668
2021-11-06,61527.14436223,2701605.55165662
2021-11-07,63311.0736258,2695169.69714382
2021-11-08,67551.34164043,2704186.25435301
2021-11-09,66948.48145899,2703320.59168447
2021-11-10,64901.67394947,2704124.09641449
2021-11-11,64802.10928716,2709035.10110088
2021-11-12,64134.24452573,2707712.2726334
2021-11-13,64390.03031824,2707140.9853674
2021-11-14,65508.45885626,2709663.94826356
2021-11-15,63596.21975773,2712509.13764367
2021-11-16,60090.51290703,2705809.8302856
2021-11-17,60363.97800329,2695816.78081524
2021-11-18,56913.15170127,2702345.59350503
2021-11-19,58108.70262357,2701441.52071961
2021-11-20,59753.81987191,2705731.64085441
2021-11-21,58676.68643636,2705785.46267023
2021-11-22,56285.09634124,2707462.74321873
2021-11-23,57561.16731015,2703466.87427665
2021-11-24,57157.66659695,2701290.14921569
2021-11-25,58992.47628585,2696633.06365382
2021-11-26,53772.85664244,2719905.42085627
2021-11-27,54763.41541834,2721111.58932487
2021-11-28,57329.1583041,2724670.13127264
2021-11-29,57819.75715108,2719327.91689376
2021-11-30,56990.23195465,2717600.1475897
2021-12-01,57223.74447771,2721402.73026338
2021-12-02,56521.86666203,2716863.28592403
2021-12-03,53638.9349888,2715647.96274151
2021-12-04,49228.15945889,2712881.95169348
2021-12-05,49467.06901054,2705982.46691553
2021-12-06,50504.72278977,2702643.27475733
2021-12-07,50636.4854406,2700808.54239011
2021-12-08,50518.99714914,2698516.95362857
2021-12-09,47575.51636534,2699878.44716494
2021-12-10,47171.48666291,2701817.2404665
2021-12-11,49418.0241894,2710924.17345445
2021-12-12,50096.32469021,2710158.961246
2021-12-13,46730.9344849,2705701.08405888
2021-12-14,48337.18785993,2705633.05030298
2021-12-15,48894.49120911,2714090.22754518
2021-12-16,47641.89484659,2718914.91534084
2021-12-17,46151.69306429,2722288.15068699
2021-12-18,46861.46208176,2725637.30808106
2021-12-19,46695.17190407,2724206.21437441
2021-12-20,46923.48845374,2734992.16085201
2021-12-21,48912.84295042,2735399.21086849
2021-12-22,48607.86613403,2734211.34352936
2021-12-23,50847.34744383,2732591.04342253
2021-12-24,50841.79579344,2722283.67983173
2021-12-25,50429.64752971,2721606.25930788
2021-12-26,50798.9830107,2722489.77095903
2021-12-27,50717.51363784,2726697.31513184
2021-12-28,47551.36707811,2726999.86782956
2021-12-29,46468.44563023,2713011.53607376
2021-12-30,47124.66493587,2722030.41139052
2021-12-31,46197.56906155,2707764.64509642
2022-01-01,47733.38548613,2705646.56583565
2022-01-02,47299.99964571,2707149.05920431
2022-01-03,46452.01632792,2710248.09033047
2022-01-04,45823.67625179,2666816.0227443
2022-01-05,43449.28599509,2661397.75222453
2022-01-06,43079.91077387,2659634.31868818
2022-01-07,41561.08581982,2658745.8639229
2022-01-08,41684.14405185,2663013.26158696
2022-01-09,41867.83473839,2663572.62529638
2022-01-10,41825.76549137,2658560.79451275
2022-01-11,42738.37273398,2653966.79320438
2022-01-12,43920.4170728,2657638.35962113
2022-01-13,42578.74466611,2652887.82714248
2022-01-14,43082.71176208,2660309.54893589
2022-01-15,43098.91299374,2660362.27973066
2022-01-16,43093.54472171,2659019.10758186
2022-01-17,42218.58338925,2661974.71816279
2022-01-18,42366.69585491,2660128.05572451
2022-01-19,41673.07835038,2656933.09230675
2022-01-20,40682.79280748,2655569.44781001
2022-01-21,36458.4083534,2662347.05210295
2022-01-22,35078.59810909,2660649.65675889
2022-01-23,36242.40303338,2660381.33484332
2022-01-24,36685.47637467,2664338.41225685
2022-01-25,36981.72452591,2668456.08536045
2022-01-26,36833.64495514,2672020.59164626
2022-01-27,37182.37278639,2658294.79588305
2022-01-28,37739.3455869,2662412.55463126
2022-01-29,38180.03679182,2664866.79542677
2022-01-30,37909.69276568,2671111.38022827
2022-01-31,38487.02591622,2669373.24647332
2022-02-01,38717.20186884,2669110.71926002
2022-02-02,36918.64060611,2667617.31241062
2022-02-03,37340.22021593,2663740.39310949
2022-02-04,41595.73091821,2669461.19221775
2022-02-05,41416.57890232,2665076.43844596
2022-02-06,42409.90292747,2665729.41535483
2022-02-07,43871.26933382,2662022.33157457
2022-02-08,44081.87372464,2654591.77584877
2022-02-09,44415.78356072,2654229.70911642
2022-02-10,43527.45377286,2647462.20428762
2022-02-11,42395.49230127,2645543.97651872
2022-02-12,42244.63159175,2652775.25578597
2022-02-13,42074.15822029,2653184.12977935
2022-02-14,42555.88351714,2655079.20287086
2022-02-15,44575.59712352,2655095.26792881
2022-02-16,43898.7161364,2651610.30288405
2022-02-17,40541.24526096,2649488.04959852
2022-02-18,39986.38582394,2649555.99905228
2022-02-19,40106.16390622,2651352.91492182
2022-02-20,38395.46984456,2651425.96796091
